Code	Description	T0_0	T0_1	T1_0	T1_1	T2_0	T2_1	T3_0	T3_1	T4_0	T4_1	T5_0	T5_1	T6_0	T6_1	T7_0	T7_1	T8_0	T8_1	T9_0	T9_1	T10_0	T10_1	T11_0	T11_1	T12_0	T12_1	T13_0	T13_1	T14_0	T14_1	T15_0	T15_1	Column1	
0x91	STA (ind),Y	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read operand	Put out ZP addr	Read Low Addr	Next ZP addr	Read High Addr	Data Addr	Write Data	Store result, PC out	Fetch Instruction Code	Store result, PC out	Fetch Instruction Code																				
FC:0	Store Accumulator in Memory	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/AR_OUT_EN	/AR_OUT_EN++	/AR_OUT_EN	/AR_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/AR_OUT_EN	/AR_OUT_EN_WR	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
HC:0	Addr-Mode: (indirect),Y		/OE_iDB		/OE_iDB		/OE_Y	/OE_ALU_FDCY	/OE_iDB				/OE_A		/OE_iDB																				
SC:0	Bytes: 2  Cycles: 6  Operand: byte		/LD_IR		/LD_AR_ZP		/LD_ALU_AB	/LD_AL	/LD_ALU_AH						/LD_IR																				
	NZCIDV: ------	A	A	A	A	A	A + B	A + B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x91	STA (ind),Y	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read operand	Put out ZP addr	Read Low Addr	Next ZP addr	Read High Addr	Prepare increment	Increment PCH	Store result, PC out	Fetch Instruction Code	Store result, PC out	Fetch Instruction Code																				
FC:1	Store Accumulator in Memory	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/AR_OUT_EN	/AR_OUT_EN++	/AR_OUT_EN	/AR_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/AR_OUT_EN	/AR_OUT_EN_WR	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
HC:0	Addr-Mode: (indirect),Y		/OE_iDB		/OE_iDB		/OE_Y	/OE_ALU_FDCY	/OE_iDB		/OE_ALU		/OE_A		/OE_iDB																				
SC:0	Bytes: 2  Cycles: 6  Operand: byte		/LD_IR		/LD_AR_ZP		/LD_ALU_AB	/LD_AL	/LD_ALU_AH		/LD_AR_H				/LD_IR																				
