Code	Description	T0_0	T0_1	T1_0	T1_1	T2_0	T2_1	T3_0	T3_1	T4_0	T4_1	T5_0	T5_1	T6_0	T6_1	T7_0	T7_1	T8_0	T8_1	T9_0	T9_1	T10_0	T10_1	T11_0	T11_1	T12_0	T12_1	T13_0	T13_1	T14_0	T14_1	T15_0	T15_1	Column1	
0xE5	SBC zpg	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Fetch Instruction Code																										
FC:0	Subtract Memory from Accumulator with Borrow	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/AR_OUT_EN	/AR_OUT_EN	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
HC:0	Addr-Mode: zeropage		/OE_iDB		/OE_iDB	/OE_A	/OE_A_BCD	/OE_ALU_NZCV	/OE_iDB																										
SC:0	Bytes: 2  Cycles: 3  Operand: byte		/LD_IR		/LD_AR_ZP	/LD_ALU_A	/LD_ALU_AB	/LD_A	/LD_IR																										
	NZCIDV: +++--+	A	A	A	A	A	A - B - !Cy	A - B - !Cy	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0xE5	SBC zpg	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Fetch Instruction Code																										
FC:1	Subtract Memory from Accumulator with Borrow	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/AR_OUT_EN	/AR_OUT_EN	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
HC:0	Addr-Mode: zeropage		/OE_iDB		/OE_iDB	/OE_A	/OE_A_BCD	/OE_ALU_NZCV	/OE_iDB																										
SC:0	Bytes: 2  Cycles: 3  Operand: byte		/LD_IR		/LD_AR_ZP	/LD_ALU_A	/LD_ALU_AB	/LD_A	/LD_IR																										
	NZCIDV: +++--+	A	A	A	A	A	A - B - !Cy	A - B - !Cy	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0xE5	SBC zpg	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Fetch Instruction Code																										
FC:0	Subtract Memory from Accumulator with Borrow	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/AR_OUT_EN	/AR_OUT_EN	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
HC:1	Addr-Mode: zeropage		/OE_iDB		/OE_iDB	/OE_A	/OE_A_BCD	/OE_ALU_NZCV	/OE_iDB																										
SC:0	Bytes: 2  Cycles: 3  Operand: byte		/LD_IR		/LD_AR_ZP	/LD_ALU_A	/LD_ALU_AB	/LD_A	/LD_IR																										
	NZCIDV: +++--+	A	A	A	A	A	A - B - !Cy	A - B - !Cy	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0xE5	SBC zpg	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Fetch Instruction Code																										
FC:1	Subtract Memory from Accumulator with Borrow	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/AR_OUT_EN	/AR_OUT_EN	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
HC:1	Addr-Mode: zeropage		/OE_iDB		/OE_iDB	/OE_A	/OE_A_BCD	/OE_ALU_NZCV	/OE_iDB																										
SC:0	Bytes: 2  Cycles: 3  Operand: byte		/LD_IR		/LD_AR_ZP	/LD_ALU_A	/LD_ALU_AB	/LD_A	/LD_IR																										
	NZCIDV: +++--+	A	A	A	A	A	A - B - !Cy	A - B - !Cy	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0xE5	SBC zpg	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Wait one phase	Wait one phase	Wait one phase	Check decimal Full CY	Wait one phase	Put out PC Addr	Fetch Instruction Code																				
FC:0	Subtract Memory from Accumulator with Borrow	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/AR_OUT_EN	/AR_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
HC:0	Addr-Mode: zeropage		/OE_iDB		/OE_iDB	/OE_A	/OE_A_BCD	/OE_ALU_NZCV				/OE_ALU_FDCY			/OE_iDB																				
SC:1	Bytes: 2  Cycles: 3  Operand: byte		/LD_IR		/LD_AR_ZP	/LD_ALU_A	/LD_ALU_AB	/LD_A							/LD_IR																				
	NZCIDV: +++--+	A	A	A	A	A	A - B - !Cy	A - B - !Cy	A - B - !Cy	A - B - !Cy	A - B - !Cy	A - B - !Cy	A - B - !Cy	A - B - !Cy	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0xE5	SBC zpg	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Wait one phase	Wait one phase	Wait one phase	Check decimal Full CY	Wait one phase	Wait one phase	ALU_B = 0x60	Put out PC Addr	Fetch Instruction Code																		
FC:1	Subtract Memory from Accumulator with Borrow	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/AR_OUT_EN	/AR_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
HC:0	Addr-Mode: zeropage		/OE_iDB		/OE_iDB	/OE_A	/OE_A_BCD	/OE_ALU_NZCV				/OE_ALU_FDCY			/OE_SIX_H	/OE_ALU_NZCV	/OE_iDB																		
SC:1	Bytes: 2  Cycles: 3  Operand: byte		/LD_IR		/LD_AR_ZP	/LD_ALU_A	/LD_ALU_AB	/LD_A								/LD_A	/LD_IR																		
	NZCIDV: +++--+	A	A	A	A	A	A - B - !Cy	A - B - !Cy	A - B - !Cy	A - B - !Cy	A - B - !Cy	A - B - !Cy	A - B - !Cy	A - B - !Cy	A - B	A - B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0xE5	SBC zpg	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Wait one phase	Load ALU_A	ALU_B = 0x06	Add 0x06 correction	Wait one phase	Finish cycle	Finish cycle	Put out PC Addr	Fetch Instruction Code																		
FC:0	Subtract Memory from Accumulator with Borrow	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/AR_OUT_EN	/AR_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
HC:1	Addr-Mode: zeropage		/OE_iDB		/OE_iDB	/OE_A	/OE_A_BCD	/OE_ALU_NZCV		/OE_A	/OE_SIX_L	/OE_ALU_FDCY					/OE_iDB																		
SC:1	Bytes: 2  Cycles: 3  Operand: byte		/LD_IR		/LD_AR_ZP	/LD_ALU_A	/LD_ALU_AB	/LD_A		/LD_ALU_A		/LD_A					/LD_IR																		
	NZCIDV: +++--+	A	A	A	A	A	A - B - !Cy	A - B - !Cy	A - B - !Cy	A - B	A - B	A - B	A - B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0xE5	SBC zpg	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Wait one phase	Load ALU_A	ALU_B = 0x06	Add 0x06 correction	Wait one phase	Load ALU_A	ALU_B = 0x60	Store result, PC out	Fetch Instruction Code																		
FC:1	Subtract Memory from Accumulator with Borrow	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/AR_OUT_EN	/AR_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
HC:1	Addr-Mode: zeropage		/OE_iDB		/OE_iDB	/OE_A	/OE_A_BCD	/OE_ALU_NZCV		/OE_A	/OE_SIX_L	/OE_ALU_FDCY		/OE_A	/OE_SIX_H	/OE_ALU_NZCV	/OE_iDB																		
SC:1	Bytes: 2  Cycles: 3  Operand: byte		/LD_IR		/LD_AR_ZP	/LD_ALU_A	/LD_ALU_AB	/LD_A		/LD_ALU_A		/LD_A		/LD_ALU_A		/LD_A	/LD_IR																		
	NZCIDV: +++--+	A	A	A	A	A	A - B - !Cy	A - B - !Cy	A - B - !Cy	A - B	A - B	A - B	A - B	A - B	A - B	A - B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
